--- FINAL PLACEMENT LOGGING (app.py) ---
  (Synthetic bakery products 210): Pos=(10.145, 2.895, 1.180) Size=(0.51x0.79x1.17) Bounds=[9.890, 10.400], [2.500, 3.290], [1.180, 2.350]
  (Synthetic confectionery 281): Pos=(5.930, 3.205, 1.180) Size=(0.50x0.27x1.10) Bounds=[5.680, 6.180], [3.070, 3.340], [1.180, 2.280]
  (Synthetic confectionery 34): Pos=(7.950, 1.205, 1.880) Size=(0.50x0.59x0.80) Bounds=[7.700, 8.200], [0.910, 1.500], [1.880, 2.680]
  (Synthetic confectionery 211): Pos=(10.580, 2.710, 1.180) Size=(0.36x0.42x1.16) Bounds=[10.400, 10.760], [2.500, 2.920], [1.180, 2.340]
  (Synthetic ice cream 94): Pos=(8.150, 0.635, 0.790) Size=(0.56x0.21x1.09) Bounds=[7.870, 8.430], [0.530, 0.740], [0.790, 1.880]
  (Synthetic fish 85): Pos=(1.250, 0.740, 0.000) Size=(0.50x0.46x1.10) Bounds=[1.000, 1.500], [0.510, 0.970], [0.000, 1.100]
  (side dish-00100653): Pos=(13.685, 1.385, 0.000) Size=(0.23x0.23x0.56) Bounds=[13.570, 13.800], [1.270, 1.500], [0.000, 0.560]
  (Synthetic confectionery 95): Pos=(7.625, 3.270, 2.290) Size=(1.15x0.46x0.63) Bounds=[7.050, 8.200], [3.040, 3.500], [2.290, 2.920]
  (Synthetic non-food products 267): Pos=(6.980, 1.215, 0.000) Size=(0.42x0.57x0.77) Bounds=[6.770, 7.190], [0.930, 1.500], [0.000, 0.770]
  (Synthetic instant meals 127): Pos=(15.940, 3.230, 0.000) Size=(0.78x0.32x0.98) Bounds=[15.550, 16.330], [3.070, 3.390], [0.000, 0.980]
  (Synthetic pizza 10): Pos=(13.300, 3.255, 0.000) Size=(0.78x0.41x1.17) Bounds=[12.910, 13.690], [3.050, 3.460], [0.000, 1.170]
  (instant meal-00109896): Pos=(16.620, 0.605, 0.000) Size=(0.29x0.21x0.33) Bounds=[16.475, 16.765], [0.500, 0.710], [0.000, 0.330]
  (Synthetic seafood 57): Pos=(12.335, 1.105, 0.000) Size=(0.53x0.79x1.17) Bounds=[12.070, 12.600], [0.710, 1.500], [0.000, 1.170]
  (Synthetic instant meals 73): Pos=(3.290, 2.750, 1.090) Size=(0.78x0.50x1.18) Bounds=[2.900, 3.680], [2.500, 3.000], [1.090, 2.270]
