Variant,Scale,PSR (%),SSR (%),VU (%),Latency (ms)
fit_regression,200,100.0,78.77,31.79,3277.6
fit_ga,200,100.0,77.75,34.8,3108.87
fit_eo,200,100.0,77.99,33.95,3368.99
fit_eo_ga,200,100.0,79.84,34.28,3282.76
fit_regression,400,100.0,54.98,33.27,7181.15
fit_ga,400,100.0,53.36,34.0,6755.46
fit_eo,400,100.0,56.1,33.02,6489.67
fit_eo_ga,400,100.0,57.36,34.05,6786.76
fit_regression,600,100.0,34.03,38.55,12695.66
fit_ga,600,100.0,34.43,38.4,12990.74
fit_eo,600,100.0,34.19,37.48,12150.35
fit_eo_ga,600,100.0,35.86,38.73,13704.85
