id,name,length,width,height,weight,category,priority,fragility,stackable,access_freq,can_rotate
SYN-7370217b,Synthetic bakery products 210,1.17,0.79,0.51,14.29,bakery products,3,1,0,3,1
SYN-b7df1cba,Synthetic confectionery 281,1.1,0.5,0.27,17.56,confectionery,2,1,0,9,1
SYN-03ab7ffa,Synthetic confectionery 34,0.8,0.59,0.5,19.46,confectionery,3,1,0,1,1
SYN-2b7126be,Synthetic confectionery 211,1.16,0.42,0.36,15.34,confectionery,1,1,0,2,1
SYN-78ac1f69,Synthetic ice cream 94,1.09,0.56,0.21,16.36,ice cream,3,1,0,4,1
SYN-6627d212,Synthetic fish 85,1.1,0.46,0.5,19.67,fish,1,0,1,10,1
REAL-9553b715,side dish-00100653,0.56,0.23,0.23,7.62,side dish,1,0,1,1,1
SYN-be8940f5,Synthetic confectionery 95,1.15,0.46,0.63,18.77,confectionery,2,1,0,10,1
SYN-33cec7a8,Synthetic non-food products 267,0.77,0.57,0.42,10.62,non-food products,1,0,1,8,1
SYN-5a6ca186,Synthetic instant meals 127,0.98,0.78,0.32,16.09,instant meals,2,0,1,2,1
SYN-6e1298cc,Synthetic pizza 10,1.17,0.78,0.41,10.52,pizza,3,0,1,4,1
REAL-3816c992,instant meal-00109896,0.33,0.21,0.29,5.25,instant meals,1,0,1,1,1
SYN-6520de7a,Synthetic seafood 57,1.17,0.79,0.53,19.49,seafood,3,0,1,4,1
SYN-c8d9513d,Synthetic instant meals 73,1.18,0.78,0.5,13.08,instant meals,3,0,1,1,1
SYN-f0e82d1b,Synthetic vegetables 133,1.16,0.38,0.37,10.58,vegetables,3,1,0,7,1
SYN-406715a8,Synthetic candy 43,0.79,0.52,0.32,15.59,candy,2,0,1,7,1
SYN-d4d047d2,Synthetic confectionery 279,0.66,0.42,0.58,10.64,confectionery,2,1,0,8,1
REAL-95952848,cake-00104249,0.35,0.2,0.26,4.25,confectionery,1,0,1,1,1
SYN-7270fac7,Synthetic instant meals 232,0.79,0.58,0.56,11.27,instant meals,1,0,1,4,1
REAL-1598a42f,sundae-00106003,0.41,0.34,0.23,8.4,ice cream,1,0,1,1,1
SYN-2bf78614,Synthetic candy 78,1.11,0.35,0.47,8.94,candy,1,0,1,5,1
SYN-29c3b1f8,Synthetic pizza 16,1.11,0.46,0.47,14.76,pizza,3,0,1,8,1
REAL-714693df,vegetables-00109095,0.39,0.25,0.26,9.3,vegetables,1,0,1,1,1
SYN-56f9923f,Synthetic instant meals 272,0.93,0.27,0.42,9.66,instant meals,1,0,1,9,1
SYN-8e82caa6,Synthetic candy 1,1.12,0.48,0.43,15.21,candy,2,0,0,4,1
REAL-ee5ee598,piece of cake-00110983,0.58,0.38,0.19,5.915,confectionery,1,0,1,1,1
SYN-b8ca455e,Synthetic seafood 115,0.8,0.59,0.3,5.4,seafood,2,0,1,5,1
SYN-3e796c80,Synthetic confectionery 226,0.79,0.57,0.52,20.59,confectionery,1,1,0,3,1
SYN-a132062f,Synthetic side dish 263,0.79,0.52,0.57,19.13,side dish,2,0,1,8,1
SYN-f440554d,Synthetic bakery products 105,1.19,0.79,0.56,12.95,bakery products,3,1,0,6,1
REAL-42aab965,brioche-00110567,0.395,0.195,0.3,7.42,confectionery,1,0,1,1,1
SYN-cb3dd03f,Synthetic fruit 194,0.53,0.51,0.33,6.12,fruit,3,1,0,7,1
SYN-0616509d,Synthetic candy 262,1.17,0.4,0.4,16.11,candy,1,0,1,1,1
SYN-c6abd6bf,Synthetic ice cream 58,1.07,0.42,0.43,12.4,ice cream,1,1,0,8,1
SYN-5b9c70fd,Synthetic confectionery 233,0.79,0.33,0.33,15.32,confectionery,2,1,0,6,1
SYN-146bcf17,Synthetic candy 117,0.67,0.41,0.58,10.74,candy,1,0,1,3,1
SYN-fe0d2567,Synthetic poultry 114,1.17,0.4,0.41,15.9,poultry,1,0,1,4,1
REAL-0266c1f1,leg of lamb-00107511,0.55,0.2,0.22,5.52,red meat,1,0,1,1,1
SYN-d7ba02e1,Synthetic side dish 159,0.91,0.53,0.47,16.67,side dish,2,0,1,3,1
SYN-3f3b9922,Synthetic herbs/spice 142,1.17,0.79,0.54,17.74,herbs/spice,3,0,1,3,1
REAL-8cbef68b,prawn-00104129,0.295,0.215,0.26,5.088,seafood,1,0,1,1,1
SYN-30e8a1c3,Synthetic fruit 56,1.12,0.44,0.59,14.49,fruit,1,1,0,7,1
SYN-a0ed82b0,Synthetic fish 77,1.18,0.39,0.43,14.03,fish,2,0,1,4,1
SYN-aa18bfe0,Synthetic bakery products 26,0.79,0.52,0.56,19.99,bakery products,1,1,0,6,1
SYN-53991579,Synthetic vegetables 83,1.11,0.47,0.44,14.61,vegetables,3,1,0,9,1
REAL-85782f3f,cake-00106538,0.56,0.23,0.22,6.88,confectionery,1,0,1,1,1
SYN-d74e4117,Synthetic ice cream 149,0.67,0.41,0.58,10.64,ice cream,1,1,0,4,1
SYN-7ddc590c,Synthetic confectionery 182,1.13,0.3,0.45,13.74,confectionery,1,1,0,6,1
SYN-3fd3b848,Synthetic poultry 23,1.17,0.4,0.42,15.05,poultry,3,0,1,3,1
SYN-3a935549,Synthetic bakery products 174,0.79,0.51,0.55,5.28,bakery products,1,1,0,10,1
SYN-9ebac230,Synthetic pizza 47,1.12,0.36,0.41,9.06,pizza,3,0,1,9,1
REAL-c26c772d,cheese-00111780,0.57,0.15,0.23,6.74,dairy products,1,0,1,1,1
REAL-1b49c15c,sundae-00106909,0.29,0.2,0.19,5.75,ice cream,1,0,1,1,1
SYN-4062a62d,Synthetic candy 71,1.18,0.79,0.54,12.76,candy,1,0,1,3,1
REAL-9a0a6f63,sundae-00101205,0.53,0.26,0.15,4.24,ice cream,1,0,1,1,1
SYN-22abf249,Synthetic confectionery 40,1.17,0.78,0.39,9.62,confectionery,3,1,0,2,1
SYN-e6c561fa,Synthetic poultry 224,0.79,0.52,0.57,18.86,poultry,3,0,1,9,1
SYN-fce94289,Synthetic confectionery 173,1.08,0.54,0.51,19.38,confectionery,1,1,0,10,1
SYN-45b1055a,Synthetic candy 31,1.18,0.79,0.26,16.81,candy,1,0,1,1,1
SYN-0752bec1,Synthetic herbs/spice 153,0.79,0.52,0.57,19.05,herbs/spice,2,0,1,5,1
SYN-a3cf8e88,Synthetic pizza 125,0.36,0.29,0.4,8.12,pizza,1,0,1,8,1
SYN-82c1dbd9,Synthetic poultry 295,0.58,0.42,0.45,10.89,poultry,3,0,1,2,1
SYN-32124258,Synthetic candy 256,0.78,0.53,0.53,21.22,candy,3,0,1,7,1
SYN-4adec819,Synthetic confectionery 79,0.79,0.52,0.57,19.07,confectionery,1,1,0,7,1
SYN-9ce7392c,Synthetic bakery products 102,0.97,0.53,0.52,18.52,bakery products,3,1,0,5,1
SYN-f7545a14,Synthetic bakery products 32,0.57,0.41,0.4,11.51,bakery products,1,1,0,9,1
REAL-a619bc67,muffin-00107849,0.57,0.19,0.26,9.8,candy,1,0,1,1,1
SYN-f16f1ed6,Synthetic plant-based products 269,1.06,0.54,0.43,16.68,plant-based products,3,0,1,7,1
REAL-d59c74fb,spinach-00110601,0.51,0.17,0.17,6.07,vegetables,1,0,1,1,1
SYN-76232ef4,Synthetic seafood 74,1.09,0.55,0.22,16.23,seafood,3,0,1,9,1
REAL-221a139f,pastry w. vanilla stuffing-00112704,0.56,0.17,0.24,4.49,confectionery,1,0,1,1,1
SYN-b8e86d9a,Synthetic confectionery 141,1.18,0.8,0.56,13.67,confectionery,3,1,0,8,1
SYN-957d641f,Synthetic poultry 6,1.08,0.55,0.24,16.24,poultry,3,0,1,2,1
SYN-dd47a589,Synthetic fruit 46,1.12,0.44,0.39,15.79,fruit,2,1,0,5,1
REAL-c91fec05,side dish-00111704,0.39,0.2,0.21,3.6,side dish,1,0,1,1,1
SYN-a94808bb,Synthetic seafood 247,0.78,0.53,0.51,21.53,seafood,2,0,1,3,1
SYN-61f6e9da,Synthetic pizza 228,0.78,0.33,0.33,15.13,pizza,1,0,1,10,1
