id,name,length,width,height,weight,category,priority,fragility,stackable,access_freq,can_rotate
SYN-b608140d,Synthetic vegetables 1,0.74,0.5,0.58,6.43,vegetables,2,1,0,9,1
SYN-40cdd676,Synthetic non-food products 2,0.78,0.53,0.56,20.02,non-food products,2,0,1,7,1
SYN-fd731eb6,Synthetic snack 3,0.75,0.45,0.29,4.89,snack,2,0,1,2,1
SYN-8abe6bd5,Synthetic ice cream 4,0.67,0.38,0.51,7.8,ice cream,2,1,0,1,1
SYN-2dc621be,Synthetic non-food products 5,1.18,0.79,0.52,14.59,non-food products,3,0,1,8,1
SYN-961efed0,Synthetic potatoe products 6,0.8,0.59,0.39,12.92,potatoe products,3,0,1,2,1
SYN-07ba66ae,Synthetic bakery products 7,1.13,0.44,0.46,15.14,bakery products,3,1,0,9,1
SYN-cb9988db,Synthetic confectionery 8,1.01,0.43,0.43,8.73,confectionery,3,1,0,6,1
SYN-00d3d850,Synthetic snack 9,0.8,0.58,0.25,9.59,snack,1,0,0,3,1
SYN-cbae17bc,Synthetic bakery products 10,0.82,0.42,0.28,8.21,bakery products,2,1,0,4,1
SYN-9c636365,Synthetic bakery products 11,0.75,0.57,0.52,9.72,bakery products,3,1,0,3,1
SYN-909f8f49,Synthetic instant meals 12,0.64,0.4,0.58,9.69,instant meals,3,0,0,2,1
SYN-acb6564b,Synthetic confectionery 13,1.12,0.47,0.54,18.44,confectionery,1,1,0,5,1
SYN-79676866,Synthetic confectionery 14,0.8,0.57,0.44,18.64,confectionery,3,1,0,3,1
SYN-118e4352,Synthetic confectionery 15,1.13,0.44,0.41,15.47,confectionery,3,1,0,10,1
SYN-7838cea3,Synthetic ice cream 16,0.79,0.61,0.48,14.1,ice cream,3,1,0,10,1
SYN-5bdafc5c,Synthetic confectionery 17,1.18,0.8,0.58,14.12,confectionery,2,1,0,7,1
SYN-c2a89079,Synthetic potatoe products 18,1.14,0.37,0.5,12.35,potatoe products,2,0,1,5,1
SYN-8f852a10,Synthetic ice cream 19,1.07,0.54,0.56,19.1,ice cream,1,1,0,1,1
SYN-37ad49fe,Synthetic ice cream 20,1.15,0.72,0.21,17.73,ice cream,1,1,0,9,1
SYN-37138c19,Synthetic fruit 21,0.61,0.4,0.59,9.0,fruit,3,1,0,3,1
SYN-4b65a12b,Synthetic poultry 22,0.67,0.4,0.53,8.2,poultry,3,0,1,6,1
SYN-01d2d3c5,Synthetic dairy products 23,1.12,0.38,0.48,12.62,dairy products,2,0,1,7,1
SYN-cf831250,Synthetic confectionery 24,1.12,0.46,0.55,14.48,confectionery,2,1,0,7,1
SYN-4fc5cf1a,Synthetic poultry 25,1.06,0.34,0.48,11.39,poultry,1,0,1,10,1
SYN-f984ca34,Synthetic confectionery 26,0.76,0.34,0.33,15.7,confectionery,1,1,0,2,1
SYN-d021d94a,Synthetic fruit 27,0.81,0.43,0.28,6.25,fruit,2,1,0,10,1
SYN-71d3406c,Synthetic fish 28,1.17,0.39,0.48,13.45,fish,2,0,1,5,1
SYN-67cb1f6a,Synthetic pizza 29,1.19,0.79,0.56,13.72,pizza,3,0,1,9,1
