item_l,item_w,item_h,weight,fragile,stackable,can_rotate,wh_l,wh_w,wh_h,target_x,target_y,target_z,target_rot
0.58,0.42,0.44,11.58,1,0,1,2.5,3.8,7.3,0.7399999499320984,0.7899999618530273,1.1399999856948853,1
0.5,0.33,0.5,4.68,0,1,1,2.5,3.8,7.3,0.25,1.3249999284744263,0.0,0
0.74,0.53,0.46,20.97,1,0,1,2.5,3.8,7.3,0.26499998569488525,0.8700000047683716,1.1399999856948853,1
0.57,0.42,0.36,12.03,0,1,1,2.5,3.8,7.3,1.4000000953674316,2.1549999713897705,0.8600000143051147,1
0.56,0.43,0.42,11.93,0,1,1,2.5,3.8,7.3,2.195000171661377,2.1500000953674316,1.0799999237060547,1
1.18,0.75,0.22,16.49,0,1,1,2.5,3.8,7.3,2.074172019958496,2.161710262298584,0.33000001311302185,1
0.85,0.52,0.22,12.23,0,1,1,2.5,3.8,7.3,0.42500001192092896,2.559999942779541,1.0699999332427979,0
0.79,0.56,0.54,19.35,1,0,1,2.5,3.8,7.3,1.2799999713897705,0.8949999809265137,1.1399999856948853,1
0.78,0.41,0.57,17.64,0,1,1,2.5,3.8,7.3,0.20499999821186066,3.3899998664855957,0.0,1
1.16,0.76,0.33,18.08,0,1,1,2.5,3.8,7.3,2.079172134399414,2.151710271835327,0.0,1
1.13,0.44,0.59,15.42,0,1,1,2.5,3.8,7.3,1.0950000286102295,0.2199999988079071,0.0,0
1.08,0.56,0.5,18.9,0,1,1,2.5,3.8,7.3,1.4191722869873047,2.1117103099823,0.0,1
1.17,0.77,0.57,14.54,0,1,1,2.5,3.8,7.3,2.0450000762939453,0.5849999785423279,0.6499999761581421,1
1.16,0.4,0.46,13.25,0,1,1,2.5,3.8,7.3,0.20000000298023224,0.5799999833106995,0.6800000071525574,1
0.55,0.39,0.38,9.43,0,1,1,2.5,3.8,7.3,1.1949999332427979,3.18500018119812,1.0899999141693115,1
1.12,0.53,0.28,16.27,0,1,1,2.5,3.8,7.3,0.26499998569488525,0.5600000023841858,0.4000000059604645,1
1.1,0.77,0.5,14.62,0,1,1,2.5,3.8,7.3,0.38499999046325684,3.2200000286102295,0.5699999928474426,1
1.17,0.78,0.55,14.68,0,1,1,2.5,3.8,7.3,0.9199999570846558,0.5849999785423279,0.5899999737739563,1
