item_l,item_w,item_h,weight,fragile,stackable,can_rotate,wh_l,wh_w,wh_h,target_x,target_y,target_z,target_rot
0.84,0.54,0.5,6.55,0,1,1,21.8,35.3,11.2,1.9182132482528687,2.732077121734619,0.0,1
0.77,0.52,0.31,6.41,1,0,1,21.8,35.3,11.2,3.5093419361114497,7.466583518981933,0.0,1
1.16,0.41,0.43,12.5,0,1,1,21.8,35.3,11.2,3.4736294128145113,3.210333314044779,0.0,1
1.18,0.8,0.59,13.97,1,0,1,21.8,35.3,11.2,7.79160327911377,2.0412407302856446,0.0,0
0.57,0.42,0.41,12.39,1,0,1,21.8,35.3,11.2,2.4651447200775145,6.316913738250733,0.0,1
0.65,0.42,0.6,10.73,1,0,1,21.8,35.3,11.2,7.52660327911377,3.651240730285645,0.0,0
1.11,0.44,0.45,12.81,0,1,1,21.8,35.3,11.2,3.3212003326416015,2.3325753593444825,0.0,0
0.59,0.43,0.58,9.42,0,1,1,21.8,35.3,11.2,2.2249999046325684,1.2949999570846558,0.0,1
0.74,0.4,0.37,6.2,0,1,1,21.8,35.3,11.2,2.639999904632569,1.369999957084656,0.0,1
1.18,0.8,0.6,15.12,0,0,1,21.8,35.3,11.2,8.188549041748047,6.656692981719971,0.0,1
0.81,0.57,0.35,11.56,0,1,1,21.8,35.3,11.2,8.193549156188965,8.701692581176758,0.0,0
1.14,0.43,0.55,17.43,0,1,1,21.8,35.3,11.2,1.215000033378601,1.5699999332427979,0.0,1
1.05,0.54,0.53,18.18,1,0,1,21.8,35.3,11.2,1.7651447057724,7.346913814544678,0.0,1
0.62,0.42,0.57,10.68,1,0,1,21.8,35.3,11.2,2.059516429901123,8.43289566040039,0.0,1
1.05,0.34,0.5,10.28,0,0,1,21.8,35.3,11.2,1.9550000286102294,1.989999966621399,0.0,0
0.8,0.33,0.34,16.58,1,0,1,21.8,35.3,11.2,3.5149999046325684,1.3999999570846557,0.0,1
1.18,0.79,0.34,14.73,1,0,1,21.8,35.3,11.2,6.395,6.59,0.0,1
0.71,0.44,0.54,7.64,0,1,1,21.8,35.3,11.2,3.02934193611145,7.436583518981934,0.0,1
0.76,0.53,0.6,19.47,0,1,1,21.8,35.3,11.2,1.5636354684829712,3.6155543327331543,0.0,1
1.16,0.76,0.17,21.77,0,0,1,21.8,35.3,11.2,2.888629412814511,3.210333314044779,0.0,1
0.76,0.53,0.6,19.48,1,0,1,21.8,35.3,11.2,2.093635468482971,3.6155543327331543,0.0,1
1.0,0.65,0.35,12.24,1,0,1,21.8,35.3,11.2,7.52660327911377,2.941240730285645,0.0,1
0.79,0.65,0.47,19.71,0,1,1,21.8,35.3,11.2,2.484342098236084,7.476583480834961,0.0,1
0.82,0.58,0.24,11.91,0,1,1,21.8,35.3,11.2,1.7200000286102295,1.409999966621399,0.0,1
0.65,0.41,0.49,11.87,0,1,1,21.8,35.3,11.2,1.4432133436203003,2.6370770931243896,0.0,1
1.17,0.79,0.43,12.05,0,1,1,21.8,35.3,11.2,3.3780083656311035,6.478997230529785,0.0,0
0.78,0.53,0.6,19.08,1,0,1,21.8,35.3,11.2,7.5916032791137695,1.3762407302856445,0.0,0
0.79,0.51,0.59,21.06,1,0,1,21.8,35.3,11.2,3.0949999046325685,1.3949999570846559,0.0,1
0.79,0.76,0.33,13.04,0,1,1,21.8,35.3,11.2,1.8751447200775146,6.426913738250732,0.0,1
1.09,0.5,0.53,15.6,1,0,1,21.8,35.3,11.2,6.25,1.545,0.0,1
